town,lat,lon,nearest_airport,distance_km,category
Warmbad,-24.8833,28.2833,O.R. Tambo International,139.4,regional
Leeupoort,-24.9,27.7167,O.R. Tambo International,147.2,regional
Ellisras,-23.6667,27.7333,O.R. Tambo International,279.4,regional
Vaalwater,-24.1667,28.1,O.R. Tambo International,219.5,regional
Potgietersrus,-24.1833,29.0167,O.R. Tambo International,230.8,regional
Naboomspruit,-24.5167,28.7167,O.R. Tambo International,186.4,regional
Roedtan,-24.5777,28.202,O.R. Tambo International,173.4,regional
Nkwe,-23.4,28.75,O.R. Tambo International,308.6,regional
Rebone,-24.1833,29.0167,O.R. Tambo International,230.8,regional
Mahwelereng,-24.15,28.9833,O.R. Tambo International,233.2,regional
Bochum,-24.1667,29.0,O.R. Tambo International,232.0,regional
Pietersburg,-24.1833,29.0167,O.R. Tambo International,230.8,regional
Mokamole,-24.1833,29.0167,O.R. Tambo International,230.8,regional
Potgieterus,-24.1833,29.0167,O.R. Tambo International,230.8,regional
Seshego,-23.85,29.3833,O.R. Tambo International,279.1,regional
Ga-Maraba,-23.7167,29.3167,O.R. Tambo International,290.1,regional
Koloti,-23.7167,29.3167,O.R. Tambo International,290.1,regional
Lonsdale,-23.6,29.1667,O.R. Tambo International,297.1,regional
Neandertal,-23.4833,29.1833,O.R. Tambo International,310.0,regional
Raditshaba,-22.8333,28.85,O.R. Tambo International,372.5,regional
Dikgale,-23.7333,29.7833,O.R. Tambo International,309.2,regional
Boyne,-23.9333,29.8167,O.R. Tambo International,291.9,regional
Sovenga,-23.9333,29.8167,O.R. Tambo International,291.9,regional
Mphogodiba,-23.9667,29.7,O.R. Tambo International,282.5,regional
Tholongwe,-23.9667,29.7,O.R. Tambo International,282.5,regional
Mphahlele,-23.9667,29.7,O.R. Tambo International,282.5,regional
Mashashane,-23.95,29.1333,O.R. Tambo International,259.2,regional
Chuenespoort,-23.95,29.1333,O.R. Tambo International,259.2,regional
Bakone,-23.95,29.1333,O.R. Tambo International,259.2,regional
Juno,-23.95,29.1333,O.R. Tambo International,259.2,regional
Atok,-23.95,29.1333,O.R. Tambo International,259.2,regional
Manyama,-23.6774,29.4869,O.R. Tambo International,300.9,regional
Letsitele,-23.8833,30.4,O.R. Tambo International,331.8,regional
Superbia,-23.8833,30.4,O.R. Tambo International,331.8,regional
Dendron,-23.3833,29.3333,O.R. Tambo International,325.4,regional
Soekmekaar,-23.4833,29.9333,O.R. Tambo International,340.9,regional
Dwars River,-23.45,29.75,O.R. Tambo International,335.3,regional
Duiwelskloof,-23.7,30.1333,O.R. Tambo International,331.4,regional
Malamulele,-23.5444,29.9389,O.R. Tambo International,335.3,regional
Giyani,-23.3167,30.7167,O.R. Tambo International,401.0,regional
Molototsi,-23.3167,30.7167,O.R. Tambo International,401.0,regional
Gakgapane,-23.3167,30.7167,O.R. Tambo International,401.0,regional
Tzaneen,-23.8333,30.1667,O.R. Tambo International,321.3,regional
Letaba,-23.9,30.0667,O.R. Tambo International,309.3,regional
Shiluvane,-24.0333,30.2667,O.R. Tambo International,310.3,regional
Trichardtsdal,-24.1667,30.4,O.R. Tambo International,308.5,regional
Messina,-22.35,30.05,O.R. Tambo International,459.3,regional
Louis Trichardt,-23.05,29.9,O.R. Tambo International,382.0,regional
Sibasa,-22.95,30.4667,O.R. Tambo International,419.8,regional
Thohoyandou,-22.95,30.4833,O.R. Tambo International,420.7,regional
Munzhedzi,-23.05,29.9,O.R. Tambo International,382.0,regional
Dzanani,-22.8833,30.1667,O.R. Tambo International,410.9,regional
Mutale,-22.4833,30.9167,O.R. Tambo International,488.4,regional
Muthathi,-22.95,30.4667,O.R. Tambo International,419.8,regional
Mungomani,-22.95,30.4667,O.R. Tambo International,419.8,regional
Cullinan,-25.6756,28.5222,O.R. Tambo International,58.5,regional
Bronkhorstspruit,-25.8083,28.7406,O.R. Tambo International,61.9,regional
Ekangala,-25.6944,28.7483,O.R. Tambo International,70.7,regional
